DENOM_CIA,ano,lucro_liquido,ativos_totais,ROA,pais
Birchcliff Energy Ltd,2021,314676.0,2959967.0,10.63106446794846,3
"Brookfield Business Partners L ,P",2021,2153.0,15418.0,13.964197691010508,3
Cameco Corporation,2021,-102654.0,7517744.0,-1.3654894340642618,3
Canfor Corporation,2021,1458.8,6173.9,23.628500623592867,3
Capital Power Corporation,2021,87.0,9073.0,0.9588890113523642,3
Celestica Inc,2021,103.9,4666.9,2.2263172555657933,3
Dundee Precious Metals Inc,2021,209824.0,1168410.0,17.958079783637594,3
Ero Copper Corp,2021,202632.0,689762.0,29.37708948883818,3
Ero Copper Corp,2021,202632.0,689762.0,29.37708948883818,3
Freehold Royalties Ltd,2021,72084.0,1070507.0,6.733631821183794,3
Corridor Resources Inc,2021,45828.0,488807.0,9.375479483722614,3
Imperial Oil Limited,2021,2479.0,40782.0,6.078662154872248,3
Interfor Corporation,2021,819011.0,2603510.0,31.457954837891922,3
Loblaw Companies Limited,2021,1976.0,36614.0,5.396842737750587,3
Magna International Inc,2021,1553.0,29086.0,5.339338513374132,3
Methanex Corporation,2021,555911.0,6089620.0,9.128829056657066,3
MTY Food Group Inc,2021,85943.0,1904594.0,4.512405268524421,3
NOVAGOLD RESOURCES INC,2021,-40536.0,198852.0,-20.385009957154065,3
Nutrien Ltd,2021,3179.0,49954.0,6.363854746366656,3
PrairieSky Royalty Ltd,2021,123.3,3510.4,3.512420237010027,3
SANDSTORM GOLD LTD,2021,27622.0,620858.0,4.449004442239611,3
Shopify Inc,2021,2914659.0,13340172.0,21.848736283160367,3
SNC-Lavalin Group Inc,2021,672056.0,9875964.0,6.8049660772355995,3
Spin Master Corp,2021,198.6,1736.7,11.435481084816029,3
Suncor Energy Inc,2021,4119.0,83739.0,4.918855013792856,3
Suncor Energy Inc,2021,4119.0,83739.0,4.918855013792856,3
Tamarack Valley Energy Ltd,2021,390508.0,2328153.0,16.773296256732266,3
TC Energy Corporation,2021,2046.0,7423.0,27.562979927253135,3
Topaz Energy Corp,2021,27564.0,1611752.0,1.7101886642610027,3
Constellation Software Inc_,2021,169.0,5766.0,2.9309746791536595,3
GFL Environmental Inc,2021,-606.8,18396.5,-3.2984535101785664,3
CAE Inc_,2021,-47.5,8748.4,-0.5429564263179554,3
Jamieson Wellness Inc_,2021,52082.0,652475.0,7.982221541055212,3
Suncor Energy Inc,2021,4119.0,83739.0,4.918855013792856,3
Suncor Energy Inc,2021,4119.0,83739.0,4.918855013792856,3
Dollarama Inc,2021,564348.0,4223746.0,13.361314813911632,3
The North West Company Inc,2021,14356.0,1191168.0,1.2052036320653343,3
NexGen Energy Ltd,2021,-126948.0,546563.0,-23.226599678353637,3
Boralex Inc,2021,26.0,5751.0,0.45209528777603897,3
Canada Goose Holdings Inc,2021,70.2,1507.2,4.657643312101911,3
Centerra Gold Inc,2021,-381768.0,2676568.0,-14.263340217771415,3
Precision Drilling Corporation,2021,-177386.0,2661752.0,-6.664257226067642,3
Paramount Resources Ltd,2021,236.9,3885.1,6.097655144011737,3
Vermilion Energy Inc,2021,1148696.0,5905323.0,19.451874181988014,3
